City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,kirakira,-10.4544,161.9205,80.8,86,62,10.67,SB,1682868852
136,melfort,52.8667,-104.6177,44.73,45,65,1.14,CA,1682868853
137,puerto natales,-51.7236,-72.4875,41.45,56,75,14.97,CL,1682868730
138,sweetwater,25.7634,-80.3731,82.99,82,100,17.27,US,1682868563
139,haiku-pauwela,20.9219,-156.3051,73.04,81,0,12.66,US,1682868856
140,fort stockton,30.894,-102.8793,77.05,14,0,13.8,US,1682868857
141,dolzhanskaya,46.6311,37.8039,54.25,84,34,21.65,RU,1682868859
142,udachny,66.4167,112.4,31.17,94,100,17.92,RU,1682868860
143,longyearbyen,78.2186,15.6401,21.04,63,75,12.66,SJ,1682868861
144,infantes,38.7367,-3.0122,75.02,27,100,11.36,ES,1682868862
145,launceston,-41.45,147.1667,42.62,92,29,4.61,AU,1682868863
146,berezovyy,51.6667,135.7,28.58,89,86,3.4,RU,1682868865
147,awjilah,29.1081,21.2869,82.29,13,2,4.76,LY,1682868866
148,barra do corda,-5.5,-45.25,86.25,67,94,4.72,BR,1682868867
149,hanceville,34.0607,-86.7675,65.16,61,20,13.6,US,1682868868
150,franceville,-1.6333,13.5836,88.25,62,40,3.6,GA,1682868869
151,pavlodar,52.3,76.95,42.6,33,0,15.66,KZ,1682868870
152,urangan,-25.3,152.9,65.41,75,1,13.42,AU,1682868871
153,bontang,0.1333,117.5,78.58,86,93,4.12,ID,1682868873
154,aksu,41.1231,80.2644,71.01,15,0,4.79,CN,1682868874
155,antofagasta,-23.65,-70.4,69.08,68,83,10.33,CL,1682868875
156,luderitz,-26.6481,15.1594,62.47,71,99,7.47,NA,1682868876
157,hermanus,-34.4187,19.2345,66.79,70,0,2.93,ZA,1682868877
158,monrovia,6.3005,-10.7969,89.37,72,45,13.11,LR,1682868652
159,pierre,44.3683,-100.351,46.85,64,0,15.01,US,1682868855
160,wailua homesteads,22.0669,-159.378,72.39,85,100,12.66,US,1682868881
161,geraldton,-28.7667,114.6,55.81,76,0,9.22,AU,1682868882
162,kapuskasing,49.4169,-82.4331,48.2,93,100,8.05,CA,1682868716
163,breves,-1.6822,-50.4803,84.6,74,36,3.02,BR,1682868884
164,cururupu,-1.8283,-44.8683,85.44,70,60,5.79,BR,1682868885
165,kalmunai,7.4167,81.8167,81.77,76,31,6.51,LK,1682868887
166,port elizabeth,-33.918,25.5701,66.09,86,75,16.11,ZA,1682868888
167,college,64.8569,-147.8028,37.38,92,100,5.75,US,1682868890
168,road town,18.4167,-64.6167,86.09,66,20,10.36,VG,1682868891
169,ghadamis,30.1337,9.5007,98.74,9,43,9.22,LY,1682868892
170,santa ana,33.7456,-117.8678,60.6,89,100,3.44,US,1682868652
171,namie,37.4833,141.0,57.72,76,100,5.57,JP,1682868896
172,keflavik,64.0049,-22.5624,46.31,36,0,16.11,IS,1682868897
173,regina,50.4501,-104.6178,47.03,57,20,8.05,CA,1682868898
174,okha,53.5739,142.9478,25.39,96,13,8.03,RU,1682868899
175,newman,37.3138,-121.0208,66.24,45,80,1.01,US,1682868901
176,minot,48.2325,-101.2963,44.02,70,40,11.5,US,1682868271
177,chui,-33.6971,-53.4616,79.92,46,27,12.3,UY,1682868903
178,ocean shores,46.9737,-124.1563,52.02,95,100,5.99,US,1682868904
179,yei,4.095,30.6779,69.35,92,97,3.02,SS,1682868905
180,enewetak,11.3474,162.3373,80.53,82,53,22.01,MH,1682868906
181,sorong,-0.8833,131.25,79.84,85,100,6.71,ID,1682868908
182,aasiaat,68.7098,-52.8699,31.82,68,0,9.22,GL,1682868910
183,belmonte,-15.8631,-38.8828,81.12,73,10,4.72,BR,1682868911
184,boca suno,-0.7167,-77.1333,78.39,59,93,2.86,EC,1682868913
185,pizarro,4.9533,-77.366,82.72,74,100,3.04,CO,1682868914
186,salavan,15.7167,106.4167,74.59,85,68,3.04,LA,1682868916
187,la passe,45.5549,-0.8967,70.03,81,21,14.27,FR,1682868917
188,nahiyat al fuhud,30.9697,46.7228,91.71,13,5,14.27,IQ,1682868918
189,port saint john's,-31.6229,29.5448,65.82,81,42,8.9,ZA,1682868919
190,o barco de valdeorras,42.4164,-6.9901,76.41,38,100,6.42,ES,1682868920
191,utrik,11.2278,169.8474,80.98,79,37,20.42,MH,1682868921
192,borogontsy,62.6683,131.1683,32.32,96,100,3.89,RU,1682868922
193,nagornyy,52.7959,83.5498,40.21,45,99,7.83,RU,1682868924
194,constantia,44.1833,28.65,65.08,70,96,13.22,RO,1682868605
195,atafu village,-8.5421,-172.5159,83.73,78,98,16.64,TK,1682868926
196,umaria,23.5333,80.8333,73.47,65,100,7.87,IN,1682868928
197,barkly west,-28.5354,24.5215,81.68,10,11,8.68,ZA,1682868929
198,gorontalo,0.5412,123.0595,75.92,93,93,2.98,ID,1682868930
199,mao,39.8885,4.2658,70.36,56,20,21.85,ES,1682868932
200,ubari,26.5921,12.7805,94.84,9,0,7.92,LY,1682868933
201,zhanaozen,43.3,52.8,84.24,12,99,15.64,KZ,1682868934
202,kudahuvadhoo,2.6708,72.8944,83.53,76,90,10.87,MV,1682868935
